"dep","url","created","modified"
"COFEPRIS","http://adela.datos.gob.mx/cofepris/catalogo.json","2015-10-20 08:38:09 UTC","2015-11-03 01:29:23 UTC"
"COLPOS","http://adela.datos.gob.mx/colpos/catalogo.json","2015-10-20 08:38:09 UTC","2015-10-27 20:34:50 UTC"
"CONACYT","http://adela.datos.gob.mx/conacyt/catalogo.json","2015-10-20 08:38:09 UTC","2015-10-28 01:31:16 UTC"
"CONAFOR","http://adela.datos.gob.mx/conafor/catalogo.json","2015-10-20 08:38:09 UTC","2015-10-28 19:59:23 UTC"
"CONALEP","http://adela.datos.gob.mx/conalep/catalogo.json","2015-10-20 08:38:09 UTC","2015-11-05 01:30:27 UTC"
"CONOCER","http://adela.datos.gob.mx/conocer/catalogo.json","2015-10-20 08:38:10 UTC","2015-10-27 16:03:04 UTC"
"CONSAR","http://adela.datos.gob.mx/consar/catalogo.json","2015-10-20 08:38:11 UTC","2015-10-28 00:58:59 UTC"
"CORETT","http://adela.datos.gob.mx/corett/catalogo.json","2015-10-20 08:38:11 UTC","2015-11-05 01:40:19 UTC"
"CRAE","http://adela.datos.gob.mx/crae/catalogo.json","2015-10-20 08:38:13 UTC","2015-10-30 21:08:48 UTC"
"CRE","http://adela.datos.gob.mx/cre/catalogo.json","2015-10-20 08:38:17 UTC","2015-11-05 20:17:42 UTC"
"ELCCC","http://adela.datos.gob.mx/elccc/catalogo.json","2015-10-20 08:38:18 UTC","2015-10-29 01:31:52 UTC"
"FIRA","http://adela.datos.gob.mx/fira/catalogo.json","2015-10-20 08:38:18 UTC","2015-11-11 00:11:51 UTC"
"FOCIR","http://adela.datos.gob.mx/focir/catalogo.json","2015-10-20 08:38:19 UTC","2015-10-27 23:57:06 UTC"
"FONART","http://adela.datos.gob.mx/fonart/catalogo.json","2015-10-20 08:38:19 UTC","2015-11-10 20:08:11 UTC"
"SFP","http://adela.datos.gob.mx/sfp/catalogo.json","2015-10-27 01:59:38 UTC","2015-10-29 18:50:49 UTC"
"IPN","http://adela.datos.gob.mx/ipn/catalogo.json","2015-10-15 19:48:52 UTC","2015-10-28 20:32:13 UTC"
"INSP","http://adela.datos.gob.mx/insp/catalogo.json","2015-10-20 08:38:20 UTC","2015-10-30 23:17:33 UTC"
"Notimex","http://adela.datos.gob.mx/notimex/catalogo.json","2015-10-20 08:38:19 UTC","2015-11-07 00:17:29 UTC"
"CM","http://adela.datos.gob.mx/cm/catalogo.json","2015-10-16 00:52:51 UTC","2015-11-04 00:41:27 UTC"
"InMujeres","http://adela.datos.gob.mx/inmujeres/catalogo.json","2015-08-18 22:45:31 UTC","2015-08-18 22:45:47 UTC"
"API-VSA","http://adela.datos.gob.mx/api-vsa/catalogo.json","2015-10-20 08:38:20 UTC","2015-10-27 00:08:40 UTC"
